"Page","Section","Field","English","Arabic"
"global","global","siteName","Mada Early Learning Academy","مدى — أكاديمية التعلم المبكر"
"global","global","siteTagline","Premium International Preschool","حضانة دولية متميزة"
"global","global","siteDescription","A premium international preschool offering a nurturing, bilingual environment guided by world-class early years educators.","حضانة دولية متميزة توفر بيئة حاضنة ثنائية اللغة يديرها معلمون ذوو مستوى عالمي في السنوات المبكرة."
"global","global","logoAlt","mada by saja","مدى — بواسطة سجا"
"global","global","copyright","© 2026 Mada Early Learning Academy. All rights reserved.","© 2026 أكاديمية مدى للتعلم المبكر. جميع الحقوق محفوظة."
"global","global","socialHandle","Follow us @MadaEarlyAcademy","تابعونا @MadaEarlyAcademy"
"nav","links","home.en","Home","الرئيسية"
"nav","links","about.en","About Us","من نحن"
"nav","links","programs.en","Programs","برامجنا"
"nav","links","curriculum.en","Curriculum","المنهج الدراسي"
"nav","links","characters.en","Characters","شخصياتنا"
"nav","links","gallery.en","Gallery","معرض الصور"
"nav","cta","cta","Apply Now","سجّل الآن"
"nav","langSwitcher","langSwitcher","EN","عربي"
"footer","tagline","tagline","A premium international preschool where every child blooms in a nurturing, safe, bilingual environment.","حضانة دولية متميزة حيث يزدهر كل طفل في بيئة حاضنة وآمنة وثنائية اللغة."
"footer","columns.explore","explore.heading","Explore","استكشف"
"footer","columns.contact","contact.heading","Get in touch","تواصل معنا"
"footer","columns.contact","contact.address","New Cairo, Egypt","القاهرة الجديدة، مصر"
"home","hero","badge","Admission Open 2026","باب القبول مفتوح ٢٠٢٦"
"home","hero","headline","Where every child blooms.","حيث يزدهر كل طفل."
"home","hero","subheadline","mada.","mada."
"home","hero","body","A premium international preschool. Experience a nurturing environment guided by world-class early years educators.","حضانة دولية متميزة. اختبر بيئة حاضنة يديرها معلمون ذوو مستوى عالمي في السنوات المبكرة."
"home","hero","cta_primary","Apply Now","سجّل الآن"
"home","hero","cta_secondary","Discover Mada","تعرّف علينا"
"home","hero","stat.label","Care Ratio","نسبة الرعاية"
"home","trustBar","items.0.title","Safe & Secure","آمن ومحمي"
"home","trustBar","items.0.subtitle","Full CCTV Coverage","تغطية كاملة بالكاميرات"
"home","trustBar","items.1.title","Secure Environment","بيئة آمنة"
"home","trustBar","items.1.subtitle","Gated Community","مجتمع سكني مغلق"
"home","trustBar","items.2.title","Bilingual","ثنائية اللغة"
"home","trustBar","items.2.subtitle","English + Arabic","إنجليزي + عربي"
"home","trustBar","items.3.title","Ages 3m – 5 Years","من 3 شهور حتى 5 سنوات"
"home","trustBar","items.3.subtitle","All stages welcome","جميع المراحل"
"home","aboutSnapshot","eyebrow","Our Story","من نحن"
"home","aboutSnapshot","headline","More than a preschool. A community.","أكثر من مجرد حضانة. إنه مجتمع."
"home","aboutSnapshot","body","Born from a desire to create a nurturing, world-class early education space, Mada is designed to be a second home for your child. We combine international standards with local warmth.","ولدت مدى من الرغبة في خلق مساحة تعليمية عالمية المستوى ودافئة، لتكون بيتاً ثانياً لطفلك. نحن نجمع بين المعايير الدولية والدفء المحلي."
"home","aboutSnapshot","cta","Read our story","اقرأ قصتنا"
"home","aboutSnapshot","badge","Est. 2026","تأسست ٢٠٢٦"
"home","programsOverview","eyebrow","Programs","برامجنا"
"home","programsOverview","headline","A stage for every age.","مرحلة لكل عمر."
"home","programsOverview","body","From first steps to kindergarten readiness, we have a perfectly tailored environment.","من الخطوات الأولى إلى الاستعداد لرياض الأطفال، لدينا بيئة مصممة خصيصاً لكل مرحلة."
"home","programsOverview","cards.0.title","Infants","الرضّع"
"home","programsOverview","cards.0.age","3m – 1yr","٣ شهور – ١ سنة"
"home","programsOverview","cards.1.title","Toddlers","الأطفال الصغار"
"home","programsOverview","cards.1.age","1yr – 2yr","١ سنة – ٢ سنة"
"home","programsOverview","cards.2.title","Preschool","ما قبل المدرسة"
"home","programsOverview","cards.2.age","2yr – 3yr","٢ سنة – ٣ سنوات"
"home","programsOverview","cards.3.title","Kindergarten","رياض الأطفال"
"home","programsOverview","cards.3.age","3yr – 5yr","٣ سنوات – ٥ سنوات"
"home","charactersPillars","eyebrow","Our Characters","شخصياتنا"
"home","charactersPillars","headline","Meet our 6 pillars.","تعرّف على ركائزنا الستة."
"home","charactersPillars","body","Our curriculum relies on 6 core pillars, guided by friendly characters who make learning an adventure.","يعتمد منهجنا على 6 ركائز أساسية، يقودها شخصيات ودودة تجعل من التعلم مغامرة ممتعة."
"home","charactersPillars","characters.0.name","Brushi","براشي"
"home","charactersPillars","characters.0.domain","Creativity & Art","الإبداع والفنون"
"home","charactersPillars","characters.1.name","Ratio","ريشيو"
"home","charactersPillars","characters.1.domain","Logic & Math","المنطق والرياضيات"
"home","charactersPillars","characters.2.name","Cuddies","كاديز"
"home","charactersPillars","characters.2.domain","Emotional IQ","الذكاء العاطفي"
"home","charactersPillars","characters.3.name","Scopii","سكوبي"
"home","charactersPillars","characters.3.domain","Science & Discovery","العلوم والاكتشاف"
"home","charactersPillars","characters.4.name","Lingo","لنجو"
"home","charactersPillars","characters.4.domain","Languages & Phonics","اللغات والصوتيات"
"home","charactersPillars","characters.5.name","Akktiv","أكتيف"
"home","charactersPillars","characters.5.domain","Physical & Movement","الرياضة والحركة"
"home","whyMada","eyebrow","Why Mada","لماذا مدى"
"home","whyMada","headline","Why Mada?","لماذا مدى؟"
"home","whyMada","body","We don't just care for your children; we thoughtfully guide their development across all crucial early years metrics, ensuring they are more than ready for big school.","نحن لا نعتني بأطفالك فحسب؛ بل نوجه تطورهم بعناية عبر جميع مقاييس السنوات المبكرة الحاسمة، مما يضمن استعدادهم التام للمدرسة الكبيرة."
"home","whyMada","features.0.title","International Standards","معايير دولية"
"home","whyMada","features.1.title","Parent Partnership","شراكة مع أولياء الأمور"
"home","whyMada","features.2.title","Nature-Led Play","لعب مستوحى من الطبيعة"
"home","whyMada","features.3.title","Holistic Growth","نمو شامل"
"home","galleryTeaser","eyebrow","Gallery","المعرض"
"home","galleryTeaser","headline","A peek inside.","نظرة من الداخل."
"home","galleryTeaser","body","Bright, safe, and wildly engaging spaces.","مساحات مشرقة وآمنة وجذابة للغاية."
"home","galleryTeaser","cta","View full gallery","مشاهدة المعرض كاملاً"
"home","testimonials","eyebrow","Testimonials","آراء الآباء"
"home","testimonials","headline","What parents say.","ماذا يقول الآباء."
"home","testimonials","items.0.quote","Mada is exactly what we needed. The care, the hygiene, and the curriculum are unmatched.","مدى هي بالضبط ما كنا نحتاجه. الرعاية، النظافة، والمنهج الدراسي لا مثيل لها."
"home","testimonials","items.0.author","Sarah T.","سارة ت."
"home","testimonials","items.1.quote","My son comes home so happy every day. The bilingual approach is fantastic.","يعود ابني إلى المنزل سعيداً جداً كل يوم. نهج ثنائية اللغة رائع حقاً."
"home","testimonials","items.1.author","Ahmed M.","أحمد م."
